"";"PT1_L";"PT1_R";"PT2_L";"PT2_R";"PT3_L";"PT3_R";"PT4_L";"PT4_R";"PT5_L";"PT5_R";"PT6A_L";"PT6A_R";"PT6B_L";"PT6B_R";"RD1_L";"RD3_L";"RD3_R";"RD4_R";"RD5_R";"RD6B_R"
"UBQLNL";94;210;185;79;60;24;30;68;9;45;22;69;21;97;49;62;64;72;61;87
"UBR1";1112;2279;3491;1346;2594;3851;1426;3504;764;1968;3803;4877;4274;3412;2067;3635;3020;2698;2063;3356
"UBR2";2570;4368;8901;6414;4698;8302;4169;6504;3185;3181;3406;6370;4012;5577;3389;5455;6042;4237;3284;5740
"UBR3";2432;4685;11922;4929;2313;3370;1900;4951;1664;2056;5414;3619;5051;3481;4591;3716;3203;2753;1753;3470
"UBR4";17094;14398;27093;24624;13232;18683;13379;15966;5409;9659;19438;21001;22043;21253;26576;16067;12053;10642;11134;15612
"UBR5";7144;13267;26400;23837;17306;25816;8505;28231;5586;6544;15855;12269;12943;11662;11090;13647;16835;9664;5823;9589
"UBR7";3181;1911;3673;3368;3366;7236;7879;5084;1970;2492;4255;6583;5024;4376;3267;4205;4002;3127;1945;3421
"UBTD1";1785;1179;1069;787;537;780;935;1158;488;407;307;597;462;977;1442;1428;1135;1719;787;1350
"UBTD2";2037;4130;3712;2796;3123;6893;3534;5249;855;1245;4007;7590;4313;4559;2545;3613;4607;3721;1419;4368
"UBTF";9972;9576;12088;9301;7172;17160;11616;12523;7511;4493;13521;15166;15310;10736;9711;12756;10898;9981;5057;10323
"UBTFL1";1;0;0;1;3;0;0;1;0;1;2;4;0;3;3;0;1;10;1;5
"UBXN1";7341;6103;8290;3850;5401;4816;6404;3873;3030;2799;3360;3469;4812;5629;5832;8918;6119;6315;4585;5461
"UBXN10";56;215;517;62;1330;953;177;1199;12;13;221;412;347;338;113;766;591;525;52;468
"UBXN10-AS1";14;26;30;0;32;4;2;27;1;0;6;4;5;5;8;18;16;24;2;19
"UBXN11";1321;2308;964;1750;1917;4409;7902;2904;945;859;3243;1916;4713;2141;1610;3228;4176;3427;1514;1661
"UBXN2A";2066;1805;3918;2258;965;815;655;1237;976;526;1187;915;1066;980;2884;1107;801;801;512;1015
"UBXN2B";2951;3720;4274;5030;2881;6137;1803;5391;966;1655;6273;3818;6262;2643;4650;2868;3392;2598;1543;1825
"UBXN4";8979;16542;24785;30464;10636;19918;5207;22314;7036;9485;11699;16955;11686;15107;16550;14324;13971;10652;7148;10947
"UBXN6";5808;4121;5528;4500;5140;5521;5325;5617;6015;1774;3200;4778;4651;6162;4939;7999;6535;7008;3243;6360
"UBXN7";333;1436;2728;1446;777;1222;640;2649;216;633;995;825;1097;778;810;425;425;559;647;1233
"UBXN8";450;434;370;283;484;601;1831;528;426;172;648;666;1243;660;590;726;582;917;358;642
"UCA1";1;92;926;0;16;0;91;29;28;39;13;17;6;110;0;20;21;21;29;4
"UCHL1";4735;544;5253;680;139;346;14742;1045;3523;160;132;718;151;695;6861;404;647;1405;926;739
"UCHL1-AS1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"UCHL3";2440;2653;3559;1672;1007;872;4343;1717;1566;1089;1243;1204;984;1353;1594;1439;831;1708;1125;976
"UCHL5";3321;6855;14405;10391;2305;2566;4537;5463;2370;1622;3862;2919;3844;2329;4594;2587;2248;2586;1190;1879
"UCK1";3257;1519;2212;2032;2318;2414;4240;1840;1432;979;1393;2116;1939;2412;2289;2866;2178;2323;1435;2109
"UCK2";6238;7008;8333;8899;4637;3652;6009;6318;2820;952;2714;4060;2903;3564;4757;4383;2212;2694;1190;2090
"UCKL1";6197;5474;2479;6016;3082;6784;8254;3240;3329;1885;4809;5505;5455;3626;4649;4319;5751;3907;2514;3071
"UCKL1-AS1";77;25;188;22;10;22;82;14;48;58;13;17;26;11;116;24;17;16;88;29
"UCMA";0;3;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6
"UCN";110;7;70;26;90;198;92;57;14;19;43;102;86;50;59;107;226;110;49;71
"UCN2";103;20;65;42;27;31;473;107;98;7;22;74;87;152;423;83;144;37;20;36
"UCN3";0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"UCP1";0;1;7;0;2;1;54;5;0;2;3;0;2;1;1;11;2;10;1;4
"UCP2";7618;3225;2649;2625;5305;4317;3708;6059;2932;1699;7056;4262;6400;3620;2896;9983;3760;12752;7339;4756
"UCP3";350;398;245;168;178;231;285;264;217;182;228;300;260;259;362;330;339;226;231;309
"UEVLD";398;1047;1589;1108;1087;4785;1049;3641;213;827;2953;2064;2053;1470;1019;1011;1438;987;662;1074
"UFC1";28475;11249;7810;14697;7458;6231;6156;9666;4191;4307;5787;7891;7373;5937;24049;6413;5788;7108;3979;5524
"UFD1L";5018;3312;3902;3540;2183;1866;5189;4152;2019;1696;4818;2444;5176;2407;6219;2901;1977;3440;1924;2251
"UFL1";2051;3650;5811;3805;2512;2687;884;5385;1063;2362;4064;2803;2906;3731;4522;3153;2760;2528;1846;3205
"UFM1";5528;7713;6300;7863;4642;6466;7495;12395;3600;5284;6866;5448;6687;6879;6484;8346;6282;7483;3856;5944
"UFSP1";184;281;274;121;183;243;203;147;62;52;56;71;119;81;92;180;127;171;76;286
"UFSP2";1630;1749;1764;1089;2280;2978;1951;3109;834;791;2195;2442;3208;2812;1552;2771;2464;2602;1097;3077
"UG0898H09";2;15;9;2;26;1;16;30;3;248;0;9;0;58;62;36;18;17;106;69
"UGCG";394;609;1192;878;1772;5079;408;3910;276;566;2563;12553;2092;3703;615;2903;2402;1393;867;2983
"UGDH";2939;4204;6350;2032;11299;14673;2497;10674;862;861;7546;3059;5943;3920;3667;6201;7420;5727;1985;3067
"UGDH-AS1";1898;2757;3134;1616;1900;3236;973;3959;1002;2130;2898;3603;3721;2421;2687;1522;1742;1488;1839;2178
"UGGT1";6728;9126;24904;10094;4550;8029;4249;10134;4407;5687;6086;8720;5797;6376;9477;5549;4668;6195;4988;5524
"UGGT2";1393;2146;1869;3337;1193;1990;1805;3565;738;1701;4752;2673;3867;2458;1713;1673;1760;2247;1293;2094
