"";"PT1_L";"PT1_R";"PT2_L";"PT2_R";"PT3_L";"PT3_R";"PT4_L";"PT4_R";"PT5_L";"PT5_R";"PT6A_L";"PT6A_R";"PT6B_L";"PT6B_R";"RD1_L";"RD3_L";"RD3_R";"RD4_R";"RD5_R";"RD6B_R"
"MIR103B1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR103B2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR105-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR105-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR106A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR106B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR107";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR10A";0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0
"MIR10B";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1178";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1179";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1180";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1181";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1182";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1184-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1184-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1184-3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1185-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1185-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1193";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1197";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1199";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1200";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1203";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1204";3;18;13;9;11;16;18;48;14;1;52;10;59;12;5;5;16;3;2;9
"MIR1205";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1206";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1207";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1208";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR122";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1224";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1225";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1226";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1227";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1228";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1229";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1231";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1233-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1233-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1234";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1236";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1237";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1238";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR124-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR124-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR124-2HG";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR124-3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1243";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1244-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1244-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1244-3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1245A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1245B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1246";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1247";4;8;14;1;32;14;4;2;0;6;0;17;1;25;13;60;82;68;39;47
"MIR1248";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1249";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1250";0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;1
"MIR1251";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1252";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1253";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1256";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1257";0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;1;0;0;0
"MIR1258";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR125A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR125B1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR125B2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR126";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1260A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1260B";0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;1;0
"MIR1262";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1264";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1265";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1266";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR127";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1
"MIR1270";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1272";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1273H";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1275";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1276";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1277";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1278";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1279";0;2;2;1;0;0;0;1;0;0;1;2;5;1;2;2;1;0;1;1
"MIR128-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR128-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1281";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1282";6;3;7;2;2;8;4;3;3;4;12;9;11;3;3;5;5;0;3;9
"MIR1283-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1283-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1284";0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"MIR1286";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1287";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1288";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1289-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR129-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR129-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1291";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1292";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1293";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1295A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1295B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1296";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1297";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1298";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1301";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1304";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1305";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1306";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1307";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR130A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR130B";0;0;0;1;0;3;4;0;1;1;0;0;0;1;1;0;3;0;0;0
"MIR132";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1322";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1323";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1324";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR133A1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR133A1HG";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"MIR133A2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR133B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR134";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1343";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR135A1";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR135A2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR135B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR136";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR137";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR137HG";1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1
"MIR138-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR138-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR139";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR140";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR141";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR142";2;0;0;1;0;0;1;4;0;3;0;0;0;1;0;1;0;0;2;0
"MIR143";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR143HG";316;205;53;86;840;405;562;237;69;85;129;324;177;942;58;2484;1067;429;369;1650
"MIR144";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR145";73;76;27;35;368;176;129;109;25;37;58;147;73;413;9;1204;380;103;193;792
"MIR1468";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1469";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR146A";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
"MIR146B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1470";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1471";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR147A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR147B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR148A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR148B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR149";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR150";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR152";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR153-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR153-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1537";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1538";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1539";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR154";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR155";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR155HG";687;254;1103;3062;85;76;235;276;140;126;141;304;64;225;195;433;237;362;178;109
"MIR15A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR15B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR16-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR16-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR17";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR17HG";672;1980;2091;2830;507;754;1042;688;1432;371;2806;617;1613;825;25;1175;797;467;134;183
"MIR181A1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR181A1HG";1;0;7;0;0;5;0;5;1;0;4;3;8;2;4;6;2;5;3;3
"MIR181A2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR181A2HG";27;29;13;4;9;43;7;13;18;15;2;9;10;35;20;7;50;13;13;54
"MIR181B1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR181B2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR181C";0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;4;0
"MIR181D";0;0;0;0;0;0;0;3;1;10;1;2;2;4;0;1;1;0;2;0
"MIR182";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1827";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR183";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR184";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR185";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR186";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR187";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR188";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR18A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR18B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1908";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1909";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR190A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR190B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR191";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1910";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1911";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1912";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1913";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1914";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1915";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR192";2;2;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"MIR193A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR193B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR194-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR194-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR195";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR196A1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR196A2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR196B";0;0;3;0;0;0;0;0;0;5;0;1;0;3;0;5;2;0;3;1
"MIR197";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1972-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1972-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1973";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR1976";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR198";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR199A1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR199A2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR199B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR19A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR19B1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR19B2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR200A";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"MIR200B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR200C";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR202";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR202HG";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;5;0;0;5
"MIR203A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
"MIR203B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR204";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR205";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR2052";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR2053";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR2054";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR205HG";221;1626;1955;22;2877;634;2533;1045;1041;291;364;1778;558;5963;212;6474;2591;895;68;2182
"MIR206";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR208A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR208B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR20A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR20B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR21";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR210";7;1;2;0;0;7;12;5;1;1;3;0;0;3;6;1;3;4;2;0
"MIR210HG";1243;212;299;74;116;259;1893;272;370;290;216;128;338;232;845;243;288;218;153;80
"MIR211";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR2110";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR2113";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR2114";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR2116";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR2117";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR212";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR214";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR215";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR216A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR216B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR217";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR217HG";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR218-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR218-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR219A1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR219A2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR219B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR22";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR221";1;1;0;0;0;0;0;2;0;0;0;2;0;4;2;5;6;3;0;2
"MIR222";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"MIR223";0;0;0;0;0;0;0;1;1;0;2;0;2;1;0;6;3;1;0;9
"MIR2276";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR2277";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR2278";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR22HG";2562;1564;1429;1271;1027;1736;2166;3475;909;2670;1825;2395;2054;2424;1857;7014;3833;4815;3793;7636
"MIR2355";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR2392";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR23A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR23B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR23C";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR24-1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR24-2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR2467";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR25";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR2681";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR2682";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR26A1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR26A2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR26B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR27A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"MIR27B";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"MIR2861";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR2909";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR296";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR298";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR299";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR29A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR29B1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR29B2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR29C";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"MIR300";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR301A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR301B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR302A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR302B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MIR302C";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
